"","pathway","mean_cov","min_cov","max_cov","normalized_cov","metabolism","site_m","depth_m","relative_auto","percentage"
"87","CBB",632.675693467102,513.490809532891,751.860577401313,0.148787376694189,"chemoautotrophy","4000",500,0.67642766751428,14.8787376694189
"88","WL",0,0,0,0,"chemoautotrophy","4000",500,0,0
"89","rTCA",1.29133858267717,0,6.45669291338583,0.000303686204677181,"chemoautotrophy","4000",500,0.00138063964598465,0.0303686204677181
"90","total",NA,NA,NA,0.219960512911823,NA,"4000",500,NA,21.9960512911823
"91","3HP Bicycle",431.122740837933,0,1574.2028477014,0.053849248802812,"chemoautotrophy","4000",1000,0.290739098503511,5.3849248802812
"92","3HP/4HB or DC/4HB",71.9928984794663,0,215.978695438399,0.00899225008340191,"chemoautotrophy","4000",1000,0.0485503278298261,0.899225008340191
"93","CBB",978.299326605377,691.151445794534,1265.44720741622,0.122194166189438,"chemoautotrophy","4000",1000,0.659742197154851,12.2194166189438
"94","WL",0,0,0,0,"chemoautotrophy","4000",1000,0,0
"95","rTCA",1.43595800524934,0,7.17979002624672,0.000179357877862744,"chemoautotrophy","4000",1000,0.000968376511811136,0.0179357877862744
"96","total",NA,NA,NA,0.185215022953515,NA,"4000",1000,NA,18.5215022953515
"97","3HP Bicycle",481.681541281636,0,1708.80803829895,0.064935327108189,"chemoautotrophy","4000",2000,0.369964676130587,6.4935327108189
"98","3HP/4HB or DC/4HB",242.069536922546,0,726.208610767639,0.0326333131246204,"chemoautotrophy","4000",2000,0.185926115396371,3.26333131246204
"99","CBB",576.531066042184,50.5822838446685,1102.4798482397,0.0777219597451687,"chemoautotrophy","4000",2000,0.442815658993264,7.77219597451687
"100","WL",0,0,0,0,"chemoautotrophy","4000",2000,0,0
"101","rTCA",1.68415783274441,0,8.42078916372203,0.000227040752859437,"chemoautotrophy","4000",2000,0.00129354947977914,0.0227040752859437
"102","total",NA,NA,NA,0.175517640730838,NA,"4000",2000,NA,17.5517640730838
"103","3HP Bicycle",211.106234927373,0,760.350932458649,0.0298073818740521,"chemoautotrophy","4000",3000,0.247335567828933,2.98073818740521
"104","3HP/4HB or DC/4HB",192.080981811519,0,576.242945434557,0.0271210898984983,"chemoautotrophy","4000",3000,0.225045265583157,2.71210898984983
"105","CBB",447.508290614272,244.229479606188,650.787101622357,0.0631864355628005,"chemoautotrophy","4000",3000,0.524308139005535,6.31864355628005
"106","WL",0,0,0,0,"chemoautotrophy","4000",3000,0,0
"107","rTCA",2.82603336346454,0,14.1301668173227,0.000399024953870165,"chemoautotrophy","4000",3000,0.00331102758237567,0.0399024953870165
"108","total",NA,NA,NA,0.120513932289221,NA,"4000",3000,NA,12.0513932289221
"109","3HP Bicycle",306.063647810287,0,935.355771975526,0.0470624924530519,"chemoautotrophy","4500",50,0.0820718609097481,4.70624924530519
"110","3HP/4HB or DC/4HB",141.676250678587,0,425.02875203576,0.0217851336675913,"chemoautotrophy","4500",50,0.0379909003342827,2.17851336675913
