scaffold,reconciled_taxonomy
OC1703_3000m_3000m_sens_contig_2999119,p__Thermoplasmatota
OC1703_500m_50m_sens_contig_1889243,p__Thermoplasmatota
OC1703_4500m_50m_sens_contig_3330032,p__Thermoplasmatota
OC1703_4000m_50m_sens_contig_236070,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_490884,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_3049796,p__Thermoplasmatota
OC1703_3000m_50m_sens_contig_951475,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_1578670,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_734878,p__Thermoplasmatota
OC1703_4500m_50m_sens_contig_4039421,p__Thermoplasmatota
OC1703_3000m_50m_sens_contig_3730921,p__Thermoplasmatota
OC1703_4000m_50m_sens_contig_2211973,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_1877444,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_4333830,p__Thermoplasmatota
OC1703_3000m_1000m_sens_contig_4268687,p__Thermoplasmatota
OC1703_500m_500m_sens_contig_874712,p__Thermoplasmatota
OC1703_3500m_500m_sens_contig_3987706,p__Thermoplasmatota
OC1703_3000m_500m_sens_contig_259902,p__Thermoplasmatota
OC1703_4500m_1000m_sens_contig_1631117,p__Thermoplasmatota
OC1703_4500m_500m_sens_contig_2773837,p__Thermoplasmatota
OC1703_3000m_50m_sens_contig_5482021,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_2759385,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_1430109,p__Thermoplasmatota
OC1703_3000m_50m_sens_contig_1112297,p__Thermoplasmatota
OC1703_4000m_50m_sens_contig_765957,p__Thermoplasmatota
OC1703_3000m_50m_sens_contig_3778165,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_2690052,p__Thermoplasmatota
OC1703_3000m_50m_sens_contig_2400904,p__Thermoplasmatota
OC1703_4000m_50m_sens_contig_1089412,p__Thermoplasmatota
OC1703_4500m_50m_sens_contig_6821578,p__Thermoplasmatota
OC1703_500m_50m_sens_contig_562686,p__Thermoplasmatota
OC1703_4500m_50m_sens_contig_6709390,p__Thermoplasmatota
OC1703_4500m_50m_sens_contig_5920224,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_2689497,p__Thermoplasmatota
OC1703_4000m_50m_sens_contig_2590263,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_1833977,p__Thermoplasmatota
OC1703_3000m_50m_sens_contig_356932,p__Thermoplasmatota
